tree_id,longitude,latitude,common,scientific,link,health,notes,memorial
1,-76.484647,42.475220,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,3,,
2,-76.484530,42.475278,River Birch,Betula nigra,https://en.wikipedia.org/wiki/Betula_nigra,3,,
3,-76.484555,42.475301,River Birch,Betula nigra,https://en.wikipedia.org/wiki/Betula_nigra,3,,
4,-76.484603,42.475617,Redbud,Cercis canadensis,https://en.wikipedia.org/wiki/Cercis_canadensis,2,,
5,-76.484634,42.475707,Redbud,Cercis canadensis,https://en.wikipedia.org/wiki/Cercis_canadensis,4,,
6,-76.484667,42.475752,Dogwood,Cornus,https://en.wikipedia.org/wiki/Cornus,4,,
7,-76.484682,42.475794,Redbud,Cercis canadensis,https://en.wikipedia.org/wiki/Cercis_canadensis,3,,
8,-76.484863,42.476299,Wisteria,Wisteria,https://en.wikipedia.org/wiki/Wisteria,5,Chinese. Cluster,
9,-76.484830,42.476381,Redbud,Cercis canadensis,https://en.wikipedia.org/wiki/Cercis_canadensis,4,,
10,-76.484746,42.476606,Dogwood,Cornus,https://en.wikipedia.org/wiki/Cornus,2,,
11,-76.484806,42.476646,River Birch,Betula nigra,https://en.wikipedia.org/wiki/Betula_nigra,5,,
12,-76.484792,42.476898,Fringe Tree,Chionanthus,https://en.wikipedia.org/wiki/Chionanthus,3,,
13,-76.484696,42.476839,White Spruce,Picea glauca,https://en.wikipedia.org/wiki/Picea_glauca,5,,
14,-76.484551,42.476768,Norway Spruce,Picea abies,https://en.wikipedia.org/wiki/Picea_abies,4,Cluster 6,
15,-76.484609,42.476705,Norway Spruce,Picea abies,https://en.wikipedia.org/wiki/Picea_abies,5,Cluster 8,
16,-76.484570,42.476406,Gray Birch,Betula populifolia,https://en.wikipedia.org/wiki/Betula_populifolia,2,,
17,-76.484566,42.476349,Serviceberry,Amelanchier,https://en.wikipedia.org/wiki/Amelanchier,4,Canadian,
